LK_ID,LK_Name,LK_Type,Population,BL_Code,BL_Name,Twitter Account
5374,Oberbergischer Kreis,Kreis,272471,NW,Nordrhein-Westfalen,-
11009,Berlin Treptow-Köpenick,Bezirk,271153,BE,Berlin,BaBerlinTK
6431,Bergstraße,Landkreis,269694,HE,Hessen,-
6531,Gießen,Landkreis,268876,HE,Hessen,-
11010,Berlin Marzahn-Hellersdorf,Bezirk,268548,BE,Berlin,BezirksamtMaHe
11012,Berlin Reinickendorf,Bezirk,265225,BE,Berlin,Bezirksamt_RDF
5358,Düren,Kreis,263722,NW,Nordrhein-Westfalen,kreisdueren
8315,Breisgau-Hochschwarzwald,Landkreis,262795,BW,Baden-Württemberg,Landkreis_BH
5116,Mönchengladbach,Kreisfreie Stadt,261454,NW,Nordrhein-Westfalen,StadtMG
9187,Rosenheim,Landkreis,260983,BY,Bayern,Kreis_Rosenheim
5513,Gelsenkirchen,Kreisfreie Stadt,260654,NW,Nordrhein-Westfalen,_Gelsenkirchen_
5958,Hochsauerlandkreis,Kreis,260475,NW,Nordrhein-Westfalen,-
13071,Mecklenburgische Seenplatte,Landkreis,259130,MV,Mecklenburg-Vorpommern,-
14729,Leipzig,Landkreis,257763,SN,Sachsen,KreisLeipzig
8117,Göppingen,Landkreis,257253,BW,Baden-Württemberg,-
14626,Görlitz,Landkreis,254894,SN,Sachsen,-
5370,Heinsberg,Kreis,254322,NW,Nordrhein-Westfalen,kreisheinsberg
6532,Lahn-Dill-Kreis,Landkreis,253777,HE,Hessen,-
3353,Harburg,Landkreis,252776,NI,Niedersachsen,LKreis_Harburg
9772,Augsburg,Landkreis,251534,BY,Bayern,?
5758,Herford,Kreis,250783,NW,Nordrhein-Westfalen,-
3101,Braunschweig,Kreisfreie Stadt,248292,NI,Niedersachsen,Stadt_BS
1002,Kiel,Kreisfreie Stadt,247548,SH,Schleswig-Holstein,stadt_kiel
14511,Chemnitz,Kreisfreie Stadt,247237,SN,Sachsen,Stadt_Chemnitz
